K,Metric,bayesian,bayesian_fixed_K,spectral,leiden,louvain
5,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
5,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
5,v_measure_score,1.0,0.9378203786073106,1.0,1.0,1.0
5,homogeneity_score,0.9999999999999996,1.0,1.0,1.0,1.0
5,fowlkes_mallows_score,1.0,0.9494722152002059,1.0,1.0,1.0
10,adjusted_mutual_info_score,1.0,1.0,1.0,1.0,1.0
10,adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
10,v_measure_score,1.0,1.0,1.0,1.0,1.0
10,homogeneity_score,1.0,1.0,1.0,1.0,1.0
10,fowlkes_mallows_score,1.0,1.0,1.0,1.0,1.0
25,adjusted_mutual_info_score,1.0,0.9965250991160272,1.0,1.0,1.0
25,adjusted_rand_score,0.9909598954434926,0.9817678391252317,1.0,1.0,1.0
25,v_measure_score,1.0,1.0,1.0,1.0,1.0
25,homogeneity_score,1.0,1.0,1.0,1.0,1.0
25,fowlkes_mallows_score,1.0,0.985146090949368,1.0,1.0,1.0
